Date,Open,High,Low,Close,Volume
28-Dec-15,63.21,63.88,62.80,63.81,8786830
24-Dec-15,64.55,64.73,62.15,63.18,13890843
23-Dec-15,68.12,68.20,63.91,64.36,57319300
22-Dec-15,65.74,65.92,64.91,65.92,17218398
21-Dec-15,64.84,65.16,64.30,64.90,8972684
18-Dec-15,64.86,65.27,64.18,64.26,13804660
17-Dec-15,65.85,65.92,65.04,65.11,7400800
16-Dec-15,64.68,65.60,64.41,65.46,7542148
15-Dec-15,64.80,65.00,64.18,64.30,6869524
14-Dec-15,63.32,64.16,63.06,63.93,7958496
11-Dec-15,63.81,63.87,62.84,63.14,8276024
10-Dec-15,64.36,64.82,64.00,64.32,5682544
9-Dec-15,65.38,65.77,63.87,64.42,7442890
8-Dec-15,65.44,66.37,65.22,65.85,5605710
7-Dec-15,66.38,66.45,65.30,65.80,6189962
4-Dec-15,64.90,66.46,64.90,66.16,7410410
3-Dec-15,66.56,66.68,64.50,64.56,10649740
2-Dec-15,66.42,66.61,66.05,66.32,7965540
1-Dec-15,66.06,66.71,65.96,66.66,6857084
30-Nov-15,66.96,67.10,65.82,66.14,8738868
27-Nov-15,67.46,67.65,66.67,67.16,4528234
25-Nov-15,66.54,67.28,66.52,67.06,6989012
24-Nov-15,65.82,66.49,65.63,66.26,5311542
23-Nov-15,66.41,66.50,65.89,66.23,7135562
20-Nov-15,66.04,66.40,65.24,66.32,19064750
19-Nov-15,63.13,63.50,62.69,62.89,8557562
18-Nov-15,61.52,63.02,61.33,62.89,10597700
17-Nov-15,61.52,61.80,60.21,61.29,10581526
16-Nov-15,60.90,61.74,60.67,61.73,9146492
13-Nov-15,62.54,62.61,60.58,60.93,16370976
12-Nov-15,63.50,64.00,62.70,62.99,9387950
11-Nov-15,65.14,65.30,63.64,63.71,8578050
10-Nov-15,65.04,65.34,64.76,65.00,5287416
9-Nov-15,65.62,65.71,64.64,65.24,6181194
6-Nov-15,65.80,66.47,65.68,65.89,4837624
5-Nov-15,65.59,66.22,65.23,65.93,5068298
4-Nov-15,65.70,65.94,64.94,65.18,5190268
3-Nov-15,65.62,65.85,65.34,65.70,5491944
2-Nov-15,65.86,66.00,64.73,65.60,6123180
30-Oct-15,65.78,65.81,65.04,65.52,7230828
